"Polarity","Truth","Order","SjPos","Color","Shape","code"
1,1,1,1,1,1,11
1,1,1,1,1,2,12
1,1,1,1,1,3,13
1,1,1,1,2,1,14
1,1,1,1,2,2,15
1,1,1,1,2,3,16
1,1,1,2,1,1,17
1,1,1,2,1,2,18
1,1,1,2,1,3,19
1,1,1,2,2,1,20
1,1,1,2,2,2,21
1,1,1,2,2,3,22
1,1,2,1,1,1,23
1,1,2,1,1,2,24
1,1,2,1,1,3,25
1,1,2,1,2,1,26
1,1,2,1,2,2,27
1,1,2,1,2,3,28
1,1,2,2,1,1,29
1,1,2,2,1,2,30
1,1,2,2,1,3,31
1,1,2,2,2,1,32
1,1,2,2,2,2,33
1,1,2,2,2,3,34
1,2,1,1,1,1,35
1,2,1,1,1,2,36
1,2,1,1,1,3,37
1,2,1,1,2,1,38
1,2,1,1,2,2,39
1,2,1,1,2,3,40
1,2,1,2,1,1,41
1,2,1,2,1,2,42
1,2,1,2,1,3,43
1,2,1,2,2,1,44
1,2,1,2,2,2,45
1,2,1,2,2,3,46
1,2,2,1,1,1,47
1,2,2,1,1,2,48
1,2,2,1,1,3,49
1,2,2,1,2,1,50
1,2,2,1,2,2,51
1,2,2,1,2,3,52
1,2,2,2,1,1,53
1,2,2,2,1,2,54
1,2,2,2,1,3,55
1,2,2,2,2,1,56
1,2,2,2,2,2,57
1,2,2,2,2,3,58
2,1,1,1,1,1,59
2,1,1,1,1,2,60
2,1,1,1,1,3,61
2,1,1,1,2,1,62
2,1,1,1,2,2,63
2,1,1,1,2,3,64
2,1,1,2,1,1,65
2,1,1,2,1,2,66
2,1,1,2,1,3,67
2,1,1,2,2,1,68
2,1,1,2,2,2,69
2,1,1,2,2,3,70
2,1,2,1,1,1,71
2,1,2,1,1,2,72
2,1,2,1,1,3,73
2,1,2,1,2,1,74
2,1,2,1,2,2,75
2,1,2,1,2,3,76
2,1,2,2,1,1,77
2,1,2,2,1,2,78
2,1,2,2,1,3,79
2,1,2,2,2,1,80
2,1,2,2,2,2,81
2,1,2,2,2,3,82
2,2,1,1,1,1,83
2,2,1,1,1,2,84
2,2,1,1,1,3,85
2,2,1,1,2,1,86
2,2,1,1,2,2,87
2,2,1,1,2,3,88
2,2,1,2,1,1,89
2,2,1,2,1,2,90
2,2,1,2,1,3,91
2,2,1,2,2,1,92
2,2,1,2,2,2,93
2,2,1,2,2,3,94
2,2,2,1,1,1,95
2,2,2,1,1,2,96
2,2,2,1,1,3,97
2,2,2,1,2,1,98
2,2,2,1,2,2,99
2,2,2,1,2,3,100
2,2,2,2,1,1,101
2,2,2,2,1,2,102
2,2,2,2,1,3,103
2,2,2,2,2,1,104
2,2,2,2,2,2,105
2,2,2,2,2,3,106
